ID,Block,Trial,Pic1,Pic2
190066,2,2,75G56,25BG56
190066,2,3,25B56,75BG56
190066,2,4,25B56,25BG56
190068,1,1,25BG56,25B56
190068,1,2,25B56,75BG56
190068,1,3,25B56,25BG56
190068,1,4,75BG56,25B56
190068,1,5,75G56,25BG56
190068,1,6,25BG56,75G56
190068,2,1,75G56,25BG56
190068,2,2,75BG56,25B56
190068,2,3,25BG56,25B56
190068,2,4,25B56,75BG56
190068,2,5,25B56,25BG56
190070,1,1,25B56,75BG56
190070,1,2,25BG56,75G56
190070,1,3,75G56,25BG56
190070,1,4,75BG56,25B56
190070,1,5,25BG56,25B56
190070,1,6,25B56,25BG56
190070,2,1,25BG56,75G56
190070,2,2,25BG56,25B56
190070,2,3,25B56,75BG56
190070,2,4,75BG56,25B56
190070,2,5,75G56,25BG56
190070,2,6,25B56,25BG56
190072,1,1,25BG56,25B56
190072,1,2,25B56,25BG56
190072,1,3,25BG56,75G56
190072,1,4,75G56,25BG56
190072,1,5,25B56,75BG56
190072,1,6,75BG56,25B56
190072,2,1,75G56,25BG56
190072,2,2,75BG56,25B56
190074,1,1,25BG56,75G56
190074,1,2,25B56,75BG56
190074,1,3,75G56,25BG56
190074,1,4,25B56,25BG56
190074,1,5,75BG56,25B56
190074,1,6,25BG56,25B56
190076,1,1,75G56,25BG56
190076,1,2,25B56,75BG56
190076,1,3,25BG56,75G56
190076,1,4,75BG56,25B56
190076,1,5,25B56,25BG56
190078,1,1,25BG56,25B56
190078,1,2,75BG56,25B56
190078,1,3,25BG56,75G56
190078,1,4,75G56,25BG56
190078,1,5,25B56,75BG56
190078,1,6,25B56,25BG56
190078,2,1,25B56,75BG56
190078,2,2,25BG56,25B56
190078,2,3,75BG56,25B56
190078,2,4,75G56,25BG56
190078,2,5,25BG56,75G56
190078,2,6,25B56,25BG56
120418,1,1,25BG56,25B56
120418,1,2,75BG56,25B56
120418,1,3,25B56,25BG56
120418,1,4,75G56,25BG56
120418,1,5,25BG56,75G56
120418,1,6,25B56,75BG56
120420,1,1,25B56,25BG56
120420,1,2,25BG56,25B56
120420,1,3,75BG56,25B56
120420,1,4,75G56,25BG56
120420,1,5,25B56,75BG56
120420,1,6,25BG56,75G56
120420,2,1,25B56,25BG56
120420,2,2,25BG56,75G56
120420,2,3,75G56,25BG56
120420,2,4,75BG56,25B56
120420,2,5,25BG56,25B56
120420,2,6,25B56,75BG56
120422,1,1,25BG56,75G56
120422,1,2,25B56,75BG56
120422,1,3,25BG56,25B56
120422,1,4,75BG56,25B56
120422,1,5,25B56,25BG56
120422,1,6,75G56,25BG56
120422,2,1,25BG56,75G56
120422,2,2,75BG56,25B56
120422,2,3,25B56,75BG56
120422,2,4,25BG56,25B56
120422,2,5,25B56,25BG56
120424,1,1,25B56,25BG56
120424,1,2,75G56,25BG56
120424,1,3,25BG56,75G56
120424,1,4,75BG56,25B56
120424,1,5,25B56,75BG56
120424,1,6,25BG56,25B56
120424,2,1,25BG56,75G56
120426,1,1,25BG56,25B56
120426,1,2,25B56,25BG56
120426,1,3,25BG56,75G56
120426,1,4,25B56,75BG56
120426,1,5,75G56,25BG56
120426,1,6,75BG56,25B56
120426,2,1,75G56,25BG56
120426,2,2,75BG56,25B56
120426,2,3,25B56,25BG56
120426,2,4,25B56,75BG56
120426,2,5,25BG56,75G56
120426,2,6,25BG56,25B56
120428,1,1,25BG56,25B56
120428,1,2,75BG56,25B56
120428,1,3,25B56,25BG56
120428,1,4,25B56,75BG56
120428,1,5,75G56,25BG56
120428,1,6,25BG56,75G56
120428,2,1,25BG56,25B56
120428,2,2,25B56,75BG56
120428,2,3,75BG56,25B56
120428,2,4,25B56,25BG56
120428,2,5,25BG56,75G56
120428,2,6,75G56,25BG56
120430,1,1,75G56,25BG56
120430,1,2,25BG56,25B56
120430,1,3,25B56,25BG56
120430,1,4,25B56,75BG56
120430,1,5,25BG56,75G56
120430,1,6,75BG56,25B56
120430,2,1,75BG56,25B56
120430,2,2,25B56,75BG56
120430,2,3,25B56,25BG56
120432,1,1,25BG56,25B56
120432,1,2,25BG56,75G56
120432,1,3,75BG56,25B56
120432,1,4,75G56,25BG56
120432,1,5,25B56,75BG56
120432,1,6,25B56,25BG56
120432,2,1,25B56,75BG56
120432,2,2,25BG56,25B56
120432,2,3,75G56,25BG56
120432,2,4,25BG56,75G56
120434,1,1,25BG56,25B56
120434,1,2,75BG56,25B56
120434,1,3,25B56,75BG56
120434,1,4,25B56,25BG56
120434,1,5,25BG56,75G56
120434,1,6,75G56,25BG56
120434,2,1,75BG56,25B56
120434,2,2,25BG56,75G56
120434,2,3,75G56,25BG56
120434,2,4,25BG56,25B56
120434,2,5,25B56,25BG56
120434,2,6,25B56,75BG56
120436,1,1,25B56,25BG56
120436,1,2,75BG56,25B56
120436,1,3,25B56,75BG56
120436,1,4,75G56,25BG56
120436,1,5,25BG56,25B56
120436,1,6,25BG56,75G56
120436,2,1,75G56,25BG56
120436,2,2,75BG56,25B56
120439,1,1,25B56,75BG56
120439,1,2,75BG56,25B56
120439,1,3,75G56,25BG56
120439,1,4,25BG56,25B56
120439,1,5,25BG56,75G56
120439,1,6,25B56,25BG56
120439,2,1,75BG56,25B56
120439,2,2,25B56,75BG56
120439,2,3,25BG56,75G56
120439,2,4,75G56,25BG56
120439,2,5,25B56,25BG56
120439,2,6,25BG56,25B56
120442,1,1,25B56,75BG56
120442,1,2,75BG56,25B56
120442,1,3,75G56,25BG56
120442,1,4,25BG56,75G56
120442,1,5,25B56,25BG56
120442,1,6,25BG56,25B56
120442,2,1,75BG56,25B56
120442,2,2,25BG56,25B56
120442,2,3,25B56,75BG56
120442,2,4,25B56,25BG56
120442,2,5,25BG56,75G56
120442,2,6,75G56,25BG56
120444,1,1,25BG56,75G56
120444,1,2,25B56,75BG56
120444,1,3,25B56,25BG56
120444,1,4,75BG56,25B56
120444,1,5,75G56,25BG56
120444,1,6,25BG56,25B56
120444,2,1,25BG56,75G56
120444,2,2,75G56,25BG56
120444,2,3,25BG56,25B56
